Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"ABI1"	2.0032321943	1.4683205915	1.4397523169	1.8075266561	1.2060572299	2.1136579469	1.4277829928	1.4710997087	1.8285447941	1.2093697936	2.4997994425	0	0	2.0877160925	1.5771644029	1.0693397233	2.1551505044	2.1172935429	0	0.9481534877	0	1.9412243697	0	3.0470771018	0	0	1.9216074683	1.9951874444	1.197493488	1.0693397233	1.1326245333	1.9440523737	2.3820175695	0.9446804407	1.0693397233	1.6324753769	1.7018594383	1.9587644251	1.6941137733	2.3799653957	2.3437362469	2.3721682245	0.9957953984	2.1210444535	1.0217797791	1.7557716275	2.7255129921	1.6486626781	2.1637212425	1.1531788593	2.1172935429	2.4922413952	2.1195076208	1.5624592608	0	2.0071374586	0	2.0608930646	0	2.085857729	2.1622775512	1.9440523737	2.313405801	2.1338989174	1.0949523057	1.0821967798	0	0.9446804407	0	1.8367345001	0	0	1.5819295745	2.3468447891	2.13563082	0.9653761943	0	0.9481534877	1.839437547	1.592478681
"ABLIM1"	0	1.0513102372	1.0513102372	1.6608239996	0	2.4866709214	0	1.6148826743	1.2037186848	1.9194750442	1.1933904459	0	1.0607356062	2.0216554012	1.4311281346	1.2850967905	1.9619416716	0	1.6214046803	0	0	2.9409990208	0	1.0814039914	0	0	2.6258164192	0	0	2.0430288453	2.6735965156	2.1244396484	1.4980932595	1.4675923781	1.9001306075	1.4191294893	1.8663771114	1.517155838	2.5589976904	1.0398507086	2.3352474006	1.6811262458	0	2.004617318	0	0	2.4919419521	1.0360092396	2.553088196	1.0461932136	1.3889392418	1.0424980601	0	0	1.9146426098	2.7241396001	2.3495915959	2.6238019994	1.0862518939	2.0418051753	2.1516583596	0.9705104893	1.0459215992	1.6436651346	0.9936171205	3.3249844452	0	1.4074098595	1.8556042703	1.6686676929	0	0	0	2.1394384643	1.5117363421	2.9647503273	0	0	0	0
"ABR"	1.5008651923	1.9516276593	1.9415516944	2.2307698522	0	2.4839546536	1.0057755069	1.0148071638	1.242041757	1.9420589932	1.0111264239	0	0	1.7373071057	1.4655835161	2.5573375156	1.9833304202	0	2.1079685314	1.4653308477	1.1073093469	1.416339035	1.064112648	1.0375477809	1.8050226539	2.7528705393	1.0678691517	0	2.3624322139	2.0620809915	2.6727078431	2.6834059638	1.8755900689	2.3692713949	0	2.0393715099	0	0	1.449735837	1.8592365078	0.991707021	1.7099898675	0	1.9839783533	1.0778350607	2.0620809915	2.6923233168	1.4043422791	0.9971830162	2.3154393113	1.4242116546	1.0826223885	2.4488781687	1.8987335976	1.1287381803	2.1986449557	1.0226593168	2.6245716329	1.1259777383	2.27140367	2.3568435082	1.7939710305	2.5255870566	1.0079922449	0	1.0226593168	0	2.029089273	1.8799457072	1.0454455849	1.2354723243	1.805223148	2.6296151996	1.0378910457	2.8215888008	2.3419678256	1.23537752	1.4653308477	1.0148071638	1.4792789264
"ABRACL"	2.5441881495	2.3864479005	2.9156532583	2.1237243945	2.8395408857	3.1880599579	2.860728741	2.6948331329	3.0189517487	2.8401842615	2.9844560988	2.2424754509	1.9888586575	2.7158281384	1.9742866152	2.6201937467	3.1762601606	2.4808454664	1.761620101	2.8033656622	2.1744628421	1.9919408036	2.6858921285	1.552798874	2.3608443716	3.0219114284	2.6850707271	3.187801872	2.4370207572	2.8058128125	3.0066287016	1.8980658805	3.3320609139	2.9074502453	2.3508228188	2.5672917137	1.7028473479	2.8886637716	2.4833332606	2.7074457087	2.6972176174	3.3165932601	2.6746511932	2.4624097953	0.9124307136	2.4806255492	2.9093303746	1.6391126102	3.1403736797	2.7184406122	2.7774328285	2.3655264949	2.0481432622	3.1690170134	2.8128864562	2.7740917157	1.1451811579	2.6832452727	3.1108311319	2.6801509364	1.7623616964	2.7774328285	1.3319028037	2.226679624	3.0248711723	1.6712784368	2.2791832113	2.1836771652	3.2397747545	3.3026021081	2.6975906091	2.7167588867	2.3436409272	3.0677228349	3.3803990573	2.2450939344	2.713703972	2.8033656622	2.4920246303	2.8533850169
"ACAA1"	4.4089811263	3.9823796877	4.3945996191	3.3544405881	3.8297576735	3.9009355535	3.1949588471	3.4377376674	3.2720191016	4.2009123515	4.3439698379	3.3089015112	3.8648553849	3.7694108407	4.1061299637	4.1224020284	3.9517526899	3.6718874655	2.9684499195	3.4644824356	3.2469331171	5.1198766071	3.6437631197	3.3989657837	3.282468905	3.5164790802	3.1309086951	3.2565453235	3.4377692983	3.4976376179	4.1729410896	4.3533324464	3.9004440106	4.2350451997	3.7582682944	3.9216398142	4.0366198864	3.617348468	4.0929283384	4.792618741	3.5841836855	4.7456920922	3.7713579016	3.6827494727	3.6277463949	3.8681938695	3.657045155	3.6150580113	3.8297580097	2.8862590858	4.3729784995	4.4136493774	3.8720160353	3.8045090888	2.7144802156	3.4059839968	3.4653515421	3.7658317041	3.4911854866	4.4489974683	4.5612214773	3.4616677619	3.561565107	3.795871683	3.8165320313	3.743087103	3.9897614796	3.707036815	3.686488451	3.0094531373	4.1038114256	4.0500943871	3.5178847685	4.04198414	3.0214696175	2.4140596238	3.3005447044	3.4644824356	2.831988588	2.9807759887
"ACAA2"	5.6635793558	5.4748772756	5.3905348186	4.6829917937	5.2521628931	4.5937257847	3.9079963484	4.9160329849	4.332262904	5.0576342912	4.9710229096	3.1928540742	5.0001507863	5.2522251852	5.0701573164	4.9139723056	5.6583785694	3.7230260514	5.3961443947	5.736541946	3.7754637353	4.2613586948	4.6115312445	4.3641084416	4.3778318534	4.596189524	4.3703289937	3.923985012	4.7237934724	6.293223387	4.9561513341	5.6583902183	4.1671460923	5.6710384694	5.0466451143	5.3285609075	3.446979779	4.6662824321	4.685150203	5.0023251475	5.4445028907	6.4049677772	4.7855217553	5.2273412567	4.5290938425	5.2428075619	5.9305521107	4.9556633909	4.6469540238	4.4404417918	5.4693334394	5.1162494647	3.2726935034	4.2717911908	5.0308185843	5.1734082355	4.9626380215	5.3408965191	4.7756972001	5.0779143386	5.2344564057	5.0714574979	6.2263285485	4.7564563816	4.7788326477	5.3568563031	4.4643695793	5.2891117881	4.5569739451	4.5213310638	4.6402294951	4.2978560137	3.8960815174	4.7208132615	4.9865434539	4.7704727839	3.990471119	5.736541946	5.6229748849	4.7704504371
"ACACA"	2.5269716989	2.6029429833	1.8185733109	1.912089458	0.9743178866	1.6389819996	1.1950463094	0	2.4592143876	2.4721329241	2.4196784453	0	0.9455705769	2.6313972876	2.1752897725	2.0327752265	2.4426546115	0.9761288458	2.8905368374	1.1831141595	0	2.1138725872	2.3196152738	1.2321939326	2.0017998763	1.857352554	1.9892103486	0	0.9676226303	1.8018157247	2.3614871114	3.0240223176	3.9079366024	2.1088950053	2.255039165	1.1785755829	2.6597573876	1.1921522905	2.9449833919	2.7447189712	3.9927629828	1.4842696855	2.0451806102	1.8894957126	1.2791983226	1.8018157247	1.7139948354	2.4316933894	1.7122366607	0	3.292598513	0.9298120713	0	2.6217948418	1.6888560783	2.6017150835	2.3522595194	2.6410804694	1.6885802726	2.6291049381	1.4780096146	2.6146302761	3.1561082356	2.3316050852	2.4363925659	2.5767948702	1.9228088223	2.3607159234	0.9519999106	3.5725445866	2.6658854153	0	3.3563608416	2.2046059366	1.7381046796	1.205612998	1.0633736911	1.1831141595	0	3.3426701158
"ACAD10"	1.0329873406	0	0	0	1.0791954576	1.0171816011	0	1.0487074907	1.7893833101	1.0816578209	2.0262575384	0	1.0518130167	1.0171816011	1.3525412178	1.5705322954	2.5710233414	0	1.8755522379	1.0224596919	1.1763966987	0	1.5929182555	0	1.0367587816	1.8879303896	1.6039590248	0	0	1.5910676575	1.0244604311	2.9176112545	1.0171816011	3.3557903358	1.3731729844	1.5644959271	0	1.0329873406	1.0209062514	1.0224596919	2.5524229404	0	1.0953551045	1.0487074907	0	0	1.171321821	2.1454762052	0	1.0398113499	2.5118772727	1.0367587816	0	1.3417789108	1.0751200904	1.6663137692	0.9866885846	2.295944848	1.072827126	0	0	0.977031499	1.7213193591	1.0393906732	1.8576985596	0	0	1.0171816011	1.0579459681	2.4325283009	1.1634917314	0	1.0171816011	0.9994291347	0	1.0487074907	0	1.0224596919	1.0487074907	0
"ACAD8"	1.5601566322	1.0207933441	2.0447132826	0	1.1107474919	0	0	2.0345964608	1.920875727	0	1.6104891115	1.222368885	1.0798635235	0	0.995767531	1.9381364007	2.4270099998	1.1126907421	2.3652865676	1.0082572722	1.9648259794	2.9496576432	0	2.5004138014	0	2.0338645208	1.049060025	0	1.8247371458	2.2314937313	1.049060025	1.7271398448	0	2.5151407428	0.995767531	1.004057895	0	1.0166249509	1.007021611	2.5229909248	1.8366377614	1.0209143471	0	2.4508191961	0	1.5700227152	1.2149605481	2.7901496694	1.0099917808	1.7698575629	2.7484158679	0	1.8737366308	2.1600483498	1.860722051	1.3949197209	1.0066054925	1.5387022629	1.1035607874	1.004057895	1.2844796701	1.7271398448	1.5480910515	1.0217091322	0	1.0066054925	0	1.835292104	0	0	1.2060864497	0	0	2.387649025	1.5328822639	2.1439786852	2.893031105	1.0082572722	1.6893848519	1.4338090635
"ACAD9"	2.9469195205	3.2506307046	2.6632586641	2.4631666202	2.5401452591	2.9844086102	3.1574864909	2.5998100652	3.0718278557	3.1524005287	3.8298942827	1.4495275293	2.0610967706	3.4421588887	3.1783038161	3.580411335	3.0515171784	1.3331202454	2.2661199301	3.4818596435	2.395487471	3.4939571888	3.2209228723	2.6144815633	2.4274394291	4.0291559344	3.4623938135	1.4929378399	2.5022346607	3.3435830036	3.2740860159	3.4354288353	2.8104363811	4.2046873149	2.9236287486	3.4814548386	2.4494961402	2.1568990959	3.200644131	3.6513980218	2.97304859	3.1744257003	2.2643578967	3.6238035297	2.3789378372	3.3842757238	2.9647302504	1.853510514	2.7583958599	2.4587823594	3.693999668	1.9838810277	2.5820095883	3.9550249093	3.1663193139	3.3417224101	2.4993169108	3.9046698901	2.1062191193	3.5363410861	3.3609382913	3.0372110978	3.1793855013	3.0057614427	2.8618606	3.1763970152	1.4583590916	3.4347583866	3.0783335604	3.5196050606	2.7576268617	3.2338113004	3.0757972786	2.6315370488	2.6813441017	3.2426501526	1.4322343281	3.4818596435	3.0156011017	3.1105090703
"ACADM"	3.3413734063	3.1437497488	3.4911268362	1.8408991195	2.8403249248	3.083821174	3.1857158708	3.8751078388	3.6897725989	3.0615196488	3.4454850052	2.7940947109	3.2789469544	3.4715155163	3.1554926994	3.1672775724	3.8069016034	1.7595928544	3.1886024164	3.7105299867	3.086810533	2.3546256847	2.0429525388	1.9173406173	3.2775428201	3.4482220267	2.6854417421	2.7175559773	1.7120430216	3.877926401	3.9260258156	4.1718928175	2.6307861074	4.0888688235	3.5281678018	3.6373703512	3.1591301383	3.5775028684	3.3051413925	3.6910303718	3.9394190359	3.8866676035	2.412689113	3.3905328701	3.0434545301	3.2522204482	3.5396219808	3.0835382921	3.0056173684	3.7135104894	2.6539752543	3.5688022949	1.7614615514	1.7120430216	4.0376219234	2.6950603058	3.8926052516	4.4519990338	3.0716772399	2.6826926886	3.4090114192	2.4966662489	3.4004101916	2.5826586258	2.5240032788	3.9268501322	2.9266333517	3.0722150736	2.7518402269	3.6965440474	3.0332629222	2.9165594021	2.2164061985	4.593777228	3.2439545377	2.2720591059	3.3084125466	3.7105299867	3.4026116195	3.31593461
"ACADS"	3.1090623886	2.981675998	3.5280623213	1.6289582469	2.4363614178	2.2812526971	1.8880958088	3.3228459626	3.2082729814	3.7606657639	2.9961961872	1.2521818347	3.4128997374	2.2531871922	2.5057383499	2.804289013	3.390656043	1.9683125792	3.2996688071	4.1644875184	1.861528872	3.4570136049	3.4173575008	4.9681364225	0	3.0375461549	2.6662838876	0	2.3940401571	2.0844681735	3.5017785864	4.6250802272	2.1448270193	2.5816649252	2.5950360239	3.5152521045	0	2.8842325288	3.3977700685	3.7388881797	2.8901804031	3.7296116141	1.7433891798	3.5639462357	1.8137150582	3.0055474963	2.7341191051	1.0072254815	2.8475699285	1.0816074047	4.2318827071	3.4249164414	1.9703598955	2.7953978328	3.640329828	2.9808486149	2.0069107465	3.6167050319	2.825024021	3.5690563973	2.5293554966	1.8082934378	3.4446607474	3.1933672833	3.0408142492	2.9532352578	1.2613584706	3.1177976865	3.4838667977	1.7093360826	2.6800550066	1.8198788556	0	3.8685184118	2.6348640916	2.019252869	2.1347046816	4.1644875184	3.5637878699	3.0780222188
"ACADSB"	3.3408600143	2.8949410339	2.6593413035	2.6457095538	0	2.4843744462	1.8485987577	2.9482100828	3.1169487171	2.4236250619	2.7250157789	0	3.0834815559	2.2557773704	2.9024682623	3.0984187204	2.5453249478	1.9820987847	3.2002844645	3.6995950186	0	1.3378461914	2.6231263569	2.7891362814	1.8447940027	3.7642126166	2.2838437823	2.4510011669	1.1906730385	3.9040340918	4.2052275531	3.3339862863	3.256705736	3.893997651	3.7176488904	2.6492389626	1.7892645728	2.7836672902	3.0643732121	3.8459881741	2.9731982336	3.064134517	2.1375025705	2.2962007458	1.7662570026	2.7151631294	3.0096826807	3.7864378413	2.9250563942	2.6558442891	3.9611209539	2.6280667638	1.2023590626	2.9298007902	2.4118511866	3.3919908618	3.4469019277	3.10858281	2.4212703315	2.6201486497	2.5660887372	3.5689637434	2.5296744977	2.7865880616	3.1554286209	2.6541654726	1.3229876594	2.9843372318	2.9649673875	2.5027211062	2.134987922	2.3245391394	3.6503020322	3.7188895139	2.5054273616	2.8146170768	2.135288984	3.6995950186	3.166983299	2.998160388
"ACADVL"	5.2138602005	5.5661699126	5.344481908	5.2770638872	4.2291461248	5.0832255198	4.9876247252	4.6367909852	5.2407971721	5.5783927627	4.9404824251	3.6757099655	4.6145062133	4.9899616306	5.3218697082	5.4556648714	5.4596299562	5.2760283832	5.0974287879	5.4345775063	4.8828738356	5.2585886471	5.6626545985	5.4183295261	5.1972635937	5.3185835384	4.6966894793	3.9873216919	4.7161977012	5.5440403087	5.3452417114	5.5347696221	4.0225881831	6.2597655171	5.2013004637	5.0473554624	4.8035628411	4.9846649227	5.2279829901	4.8715552006	4.3952935546	5.6207831109	4.0566239867	5.5082274152	4.3049283608	5.4984616831	5.5162475692	4.3544726193	5.0067344588	4.8590500621	5.2489298138	5.1141494289	4.7963188945	5.0525652497	5.2523990898	5.1735080318	4.8529701858	5.7687555539	4.9863232513	5.3345457874	4.6761059416	5.1763857839	5.205442922	5.0369082924	4.8475609633	5.0130059039	4.5006669115	4.8311170878	5.1267461096	4.7352177835	4.4732335592	5.1249861087	5.2295774401	5.5157433785	5.3847552605	4.4385779416	4.921699908	5.4345775063	5.3978633537	5.0314081941
"ACAP2"	1.6040373343	1.0514060236	1.6554866345	1.0662476275	1.0854558132	1.4788532575	2.0477386873	1.6950078649	0.9727662092	1.0881811693	1.1756534509	0	1.0551767791	1.0342139639	1.3900648957	2.1704614515	1.2184833012	1.8338538743	1.5607399331	1.5641643915	1.1631273472	1.9488874131	0	0	1.7013773858	1.5959687521	1.0249841178	1.1143775959	0	1.2804564838	1.6912367572	2.010032747	1.5604595272	1.0342139639	1.4131936709	1.0342139639	0	1.5823929169	1.0372587465	2.0061186485	1.0342139639	0.9974031467	1.0978114286	0	0	2.2564162139	1.5728570319	1.495743195	1.9882990756	1.7333133707	0.9727662092	1.703396122	1.835678853	2.1181293033	0	1.7431310496	0.9833837999	1.5057642152	1.0784092095	1.4634050574	1.0342139639	1.6912367572	1.5917040526	1.0523467171	1.5599347977	2.2149741376	1.2031677809	0	1.0619539541	0	0	1.7015613576	1.8347137597	0.9974031467	1.9801268287	0	0	1.5641643915	0	0.9741601728
"ACAT1"	4.7694568747	3.8655248279	4.3063871487	4.5233648161	3.956430269	4.5232505816	4.2307215761	4.626613874	5.009118641	4.3517534701	4.7229565142	4.0682050038	3.993824178	4.0996720624	4.5459580238	4.1816023247	4.8046418411	4.2558425579	4.63922197	4.9683091348	3.5749216462	4.2995934864	3.8928648033	4.9600739608	4.0475103389	4.5928856572	4.5978579935	4.297503277	4.8098254864	4.6563815561	4.9628921449	5.2210724202	3.7886699219	5.3016203945	4.1117979208	4.7394377493	4.5262058279	4.7543688745	4.7411966413	5.1112071455	4.77328052	4.2783425976	4.4985782932	4.5623465052	4.3987463724	4.4713899348	4.9710879721	5.6993067649	4.3967092358	4.3375273763	5.1308420095	4.8650923856	4.0014530393	4.7035573111	4.3155835814	5.0306283197	3.8827443236	3.4927219843	4.1362866174	4.4719874669	4.6285686918	4.7589517026	4.2427821346	4.2562182165	4.0794691893	4.8973601788	3.8662517965	5.0584946363	3.2615547233	5.008328965	4.6654462228	4.3034816886	3.8253214506	5.2122262341	4.408757696	4.3776852096	4.8137328653	4.9683091348	4.9252382237	4.5138432244
"ACAT2"	1.6774808412	2.2039729735	3.4963854241	0	2.5253556401	2.3296225898	2.4472886666	1.7724056427	2.8520034671	0	1.1327423446	1.1513615941	3.5307604067	1.0808114404	3.6489495179	1.5769853274	1.8000813837	0	2.7263886163	3.4382082702	1.2161014906	2.3874385743	0.9841749713	0	3.0074524461	2.4904834566	2.054371527	0	0	2.3277204793	2.9004505974	2.774797791	2.115422424	2.3813287563	3.2030528188	3.3346779329	1.1949738151	1.0943674637	2.3958910207	0	2.6389113199	3.3127284716	1.9655187848	1.8043493517	0	1.8703661288	0.9372171043	0	1.087212694	2.0970495417	0.9372171043	2.6471323703	0	2.0461124952	1.7590909911	0.9372171043	2.8461523991	1.4517230642	3.005976858	3.3773607591	2.9068050904	3.1681945686	2.5482676471	1.8070417826	1.5041674603	2.1404023881	1.1592885628	1.5231212711	0	1.9282484935	0	2.0929569855	2.9879404649	2.5191528491	0	1.8561917157	0	3.4382082702	2.9160000626	2.0550516363
"ACBD3"	2.7702566106	2.7463019067	1.9576380412	2.5027014318	2.1799116128	3.0343438805	2.0822270888	2.4682707776	2.2494277411	3.5575577906	2.5447056998	2.4061779052	2.6448829532	3.1019881905	3.1749311618	2.5669547917	3.0122239529	2.6610413671	3.0077371363	2.8887674823	1.5995463318	2.9833044243	2.8796771189	0.8275546765	2.0478859083	1.9293709462	2.8788023311	2.9172507441	2.1440318406	2.3106434399	2.5541366041	2.3908178465	3.6799483847	3.1922348227	1.2099459555	3.2354276123	2.5933511209	2.7610204677	2.7349771115	3.5448636365	2.7929853591	1.9499173198	2.1760263207	2.257510605	0	2.3106434399	2.9444364377	2.8788554934	3.5128731399	2.0836426764	2.9771163905	2.5378397723	3.0588769244	1.6816799905	1.3374837474	3.5268277363	2.6110663498	2.8768582033	1.3345072684	3.0371545262	3.1304960166	2.4055590196	3.5634119861	2.6631916652	2.7101753349	3.876320394	2.4454763787	2.6609880367	2.124790476	2.7519475294	0	2.5623500913	3.7663391652	3.2854753539	3.4228825	1.7569953359	3.8080329492	2.8887674823	2.8300009783	2.1503236447
"ACBD5"	1.0211481928	0	0	0	0	1.962513776	1.8185248303	1.5403803435	0	2.0360120547	0.9920892049	0	1.9758940065	1.304606848	2.9115213445	1.7988295936	0	0	1.0089255431	2.0663566543	0	1.393081597	1.8299614142	0	1.8806224117	1.7505719099	0	0	1.1185022436	0.9920892049	1.0544056749	1.3882691969	1.0105719649	0	0	1.0105719649	0	1.4512017544	1.7620546371	0	1.350957101	0	0	1.031631926	0	1.0089255431	1.7220877538	1.9918081392	2.2254434829	1.0746918802	1.7618575564	1.0706535687	1.1317254864	2.3956038673	2.0306811055	0	1.5953805431	1.6394799118	2.0303347682	3.2202502025	1.8187812138	0	2.1285298894	0	0	0	1.2692997857	1.0105719649	0	1.0297455222	1.2399484945	0	2.118506073	1.7723700888	1.4462546449	0	0	2.0663566543	0	1.5127854329
"ACE"	1.7106929913	0.8875161338	1.7708029563	0	0	2.6110669351	1.9831720632	2.5597170186	1.8410794738	0	1.8185453986	1.3836246373	1.2224983714	0.8732840293	1.1270543498	2.1814958287	1.1270543498	0	0	1.3157922353	0.9801825225	1.9331311496	1.1835683621	1.5390501064	1.2032714677	0	0	1.5993961861	0	4.3327259744	0	1.9481832493	1.3126688198	1.2831257108	0	1.8652442511	0.9634516283	0.8839708239	1.6657687339	1.9694461608	1.5890898808	0	0	0	0.9528531854	2.2242199412	1.1270543498	1.2581802933	2.3653760014	1.9955387188	1.1270543498	0	0	1.1270543498	1.2522756783	0	1.1393694425	2.3326940544	0	1.8488993439	1.9590527227	1.1270543498	1.3390236343	1.4545480471	2.2487504362	0	1.3930650264	0.8732840293	2.0369230447	0	0	1.9598100902	1.8073872935	1.155621907	1.9243332509	0.8945815573	0	1.3157922353	1.4611948408	1.1286714813
"ACE2"	0.6233630834	0	0	0	0	0	0	0	2.7963274607	1.5428562739	2.127525265	1.6741890711	0	0	0	1.3982364785	2.1601122942	1.541838966	1.4161099027	0	0	0.6146159352	2.2245155082	0	0	1.4249551259	1.464029614	0	0	1.7778282282	2.2600065379	1.3982364785	0.6146159352	0	2.395283009	0.9229686826	0	0	0	0	1.7704862271	0	0.6579456986	0	0	1.4161099027	1.3982364785	1.5505701046	0	1.4852406306	1.3982364785	1.4810260063	1.5443664205	1.3982364785	1.5338745917	1.3982364785	0	1.3982364785	0	0	1.1420403357	1.3982364785	0	0	2.9418406888	0	2.6754183058	0	0	2.6056164716	0	1.4767976845	0	0	0	0.6320693826	1.6545684961	0	0	0
"ACIN1"	3.5446945007	4.0614234215	3.570660452	3.1471252788	3.6647841432	3.7033172444	3.8167288508	3.7082227679	4.0815559961	3.2646751369	4.1912263022	2.9827127756	3.0664245173	3.532927243	3.6361456816	3.3759782242	3.1024999674	3.2787601274	3.3984080312	3.9327821596	3.2506301623	3.5760847199	3.0974983921	1.1164745114	2.5563875388	2.6963343314	4.0087773401	2.7716413113	2.6728271679	4.1213643838	3.3930086694	4.0182520035	3.3870854995	3.8256166057	3.9733819174	3.7150823244	3.5255300897	3.5334483359	3.6852732359	3.7070684547	3.3797496219	3.6186702777	3.4757999251	3.3136266719	2.8375177232	3.7432803735	3.9796247984	3.8301838883	3.8303395055	2.6041941355	4.2079365357	3.1069788888	3.0593410399	3.5522737499	2.7066356371	4.2367529917	3.7573613416	3.5068095329	2.7244130668	3.8741267311	3.6250873801	3.5933652726	2.826080626	3.4135685725	3.5242679343	3.2548287153	3.4588282617	3.9518848841	3.1719222026	3.6007075469	2.9481993681	2.6023720354	3.7715540669	1.6425630646	3.337541387	4.1323508747	2.9919833916	3.9327821596	3.3196350321	1.8387422422
"ACLY"	5.528724788	5.0339630728	4.5581762017	4.7447648539	4.5511455692	5.3210928963	4.9707976993	4.5210602256	5.2396105608	4.7930851428	5.0192255662	3.9438278291	4.8601928932	5.7746774179	4.8684799279	4.6103906586	4.8056835893	4.3692680678	5.1886210833	5.2119035418	4.1772608192	4.5112039901	5.035745369	4.3845017732	5.254095203	4.9401519137	4.2428824005	4.8866766752	4.7761404285	4.79487842	4.2955666503	5.6509345955	5.1670989796	5.0594234326	4.5827407139	5.1400775509	5.497571643	5.1257225631	5.3144481896	5.6983148723	5.856986965	5.0507970598	4.5702364633	4.6566404994	4.6699451185	5.2335048528	4.5635961081	4.9158518821	5.0271891292	4.4456978147	5.3548230258	4.9254557664	4.8720208202	5.3800999428	4.6605029995	4.6142910191	4.9274287972	4.9357803827	5.4151941785	5.3580003871	5.4391193763	5.326426374	4.8247493083	5.2395041452	5.0351329862	4.883876127	4.4179812597	5.041300651	4.4105837147	6.2908161062	5.2444617485	4.8727037598	5.1236435107	5.3152289011	5.1016950172	4.8053991103	4.7596118028	5.2119035418	5.2036271304	5.5201640567
